DNS Performance Testing Tool
Nominum Version 2.0.0.0

[Status] Command line: dnsperf -s 192.168.1.253 -d ../test/test_1001 -n 1 -Q 900 -c 100 -vD
[Status] Sending queries (to 192.168.1.253)
[Status] Started at: Mon Oct  5 23:04:38 2015
[Status] Stopping after 1 run through file
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695155d3b._getpgpkey.example.com CERT 0.007286
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469519eb9a._getpgpkey.example.com CERT 0.007389
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951429ed._getpgpkey.example.com CERT 0.007407
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695195c3d._getpgpkey.example.com CERT 0.007460
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951bdd41._getpgpkey.example.com CERT 0.007454
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951963d5._getpgpkey.example.com CERT 0.007422
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c0d01._getpgpkey.example.com CERT 0.007413
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951931a2._getpgpkey.example.com CERT 0.007484
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c5588._getpgpkey.example.com CERT 0.007499
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695122e45._getpgpkey.example.com CERT 0.007507
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695166593._getpgpkey.example.com CERT 0.007292
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951df645._getpgpkey.example.com CERT 0.007351
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951e0521._getpgpkey.example.com CERT 0.007400
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ac26d._getpgpkey.example.com CERT 0.007405
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469510891d._getpgpkey.example.com CERT 0.007407
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951f60b6._getpgpkey.example.com CERT 0.007409
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469511b2c9._getpgpkey.example.com CERT 0.007565
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695188173._getpgpkey.example.com CERT 0.007757
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951cd1e9._getpgpkey.example.com CERT 0.007909
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695156460._getpgpkey.example.com CERT 0.007678
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469510d910._getpgpkey.example.com CERT 0.007878
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469511ea10._getpgpkey.example.com CERT 0.008041
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469516fce4._getpgpkey.example.com CERT 0.007815
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695143cfb._getpgpkey.example.com CERT 0.007899
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a708a._getpgpkey.example.com CERT 0.007924
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c8ba3._getpgpkey.example.com CERT 0.007879
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469519941b._getpgpkey.example.com CERT 0.007690
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951664c4._getpgpkey.example.com CERT 0.008045
