DNS Performance Testing Tool
Nominum Version 2.0.0.0

[Status] Command line: dnsperf -s 192.168.1.253 -d ../test/test_1001 -n 1 -Q 100 -vD
[Status] Sending queries (to 192.168.1.253)
[Status] Started at: Wed Sep 30 22:27:49 2015
[Status] Stopping after 1 run through file
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695134c48._getpgpkey.example.com CERT 0.000315
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b25c6._getpgpkey.example.com CERT 0.000343
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695157514._getpgpkey.example.com CERT 0.000368
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d177d._getpgpkey.example.com CERT 0.000315
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951dc986._getpgpkey.example.com CERT 0.000323
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469512a91b._getpgpkey.example.com CERT 0.000311
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695166ff1._getpgpkey.example.com CERT 0.000332
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695165519._getpgpkey.example.com CERT 0.000327
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951125db._getpgpkey.example.com CERT 0.000329
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695167dd3._getpgpkey.example.com CERT 0.000333
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469512f216._getpgpkey.example.com CERT 0.000317
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695122a94._getpgpkey.example.com CERT 0.000335
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695170245._getpgpkey.example.com CERT 0.000397
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951e3fc9._getpgpkey.example.com CERT 0.000349
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469516fd1e._getpgpkey.example.com CERT 0.000329
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951beb4b._getpgpkey.example.com CERT 0.000324
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951fc271._getpgpkey.example.com CERT 0.000405
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695177b44._getpgpkey.example.com CERT 0.000325
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469514205c._getpgpkey.example.com CERT 0.000351
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951aabb3._getpgpkey.example.com CERT 0.000325
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695191627._getpgpkey.example.com CERT 0.000326
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951119ff._getpgpkey.example.com CERT 0.000334
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951472e0._getpgpkey.example.com CERT 0.000317
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951093f2._getpgpkey.example.com CERT 0.000334
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951722fe._getpgpkey.example.com CERT 0.000323
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a74de._getpgpkey.example.com CERT 0.000418
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695162f0f._getpgpkey.example.com CERT 0.000318
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951bc9f5._getpgpkey.example.com CERT 0.000328
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951917cc._getpgpkey.example.com CERT 0.000346
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517e6f9._getpgpkey.example.com CERT 0.000335
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951174f8._getpgpkey.example.com CERT 0.000316
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951cfadd._getpgpkey.example.com CERT 0.000330
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469512acac._getpgpkey.example.com CERT 0.000317
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469511ea36._getpgpkey.example.com CERT 0.000338
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d34d9._getpgpkey.example.com CERT 0.000319
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951296a7._getpgpkey.example.com CERT 0.000316
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469513cfdf._getpgpkey.example.com CERT 0.000346
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469519ea64._getpgpkey.example.com CERT 0.000330
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517a527._getpgpkey.example.com CERT 0.000308
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695141f62._getpgpkey.example.com CERT 0.000340
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695170a2d._getpgpkey.example.com CERT 0.000320
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951797ee._getpgpkey.example.com CERT 0.000319
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695185ede._getpgpkey.example.com CERT 0.000338
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695131c74._getpgpkey.example.com CERT 0.000326
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951cb777._getpgpkey.example.com CERT 0.000350
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695177e95._getpgpkey.example.com CERT 0.000329
